"TAG","TEXT"
"section","Research Overview Research Groups Sponsored Research Consultancy Collaborations In-House Projects Academics Time Tables Examination Academic Calendar Undergraduate Programme Postgraduate Programme PhD Programme Facilities Library Computer Centre Sports Hostels Medical Facility Workshops Information E-Notices Multimedia Brochure & Prospectus CRIKC Sexual Harassment Complaints Website Credits"
"h3","Research"
"span","Research"
"ul","Overview Research Groups Sponsored Research Consultancy Collaborations In-House Projects"
"li","Overview"
"a","Overview"
"li","Research Groups"
"a","Research Groups"
"li","Sponsored Research"
"a","Sponsored Research"
"li","Consultancy"
"a","Consultancy"
"li","Collaborations"
"a","Collaborations"
"li","In-House Projects"
"a","In-House Projects"
"h3","Academics"
"span","Academics"
"ul","Time Tables Examination Academic Calendar Undergraduate Programme Postgraduate Programme PhD Programme"
"li","Time Tables"
"a","Time Tables"
"li","Examination"
"a","Examination"
"li","Academic Calendar"
"a","Academic Calendar"
"li","Undergraduate Programme"
"a","Undergraduate Programme"
"li","Postgraduate Programme"
"a","Postgraduate Programme"
"li","PhD Programme"
"a","PhD Programme"
"h3","Facilities"
"span","Facilities"
"ul","Library Computer Centre Sports Hostels Medical Facility Workshops"
"li","Library"
"a","Library"
"li","Computer Centre"
"a","Computer Centre"
"li","Sports"
"a","Sports"
"li","Hostels"
"a","Hostels"
"li","Medical Facility"
"a","Medical Facility"
"li","Workshops"
"a","Workshops"
"h3","Information"
"span","Information"
"ul","E-Notices Multimedia Brochure & Prospectus CRIKC Sexual Harassment Complaints Website Credits"
"li","E-Notices"
"a","E-Notices"
"li","Multimedia"
"a","Multimedia"
"li","Brochure & Prospectus"
"a","Brochure & Prospectus"
"li","CRIKC"
"a","CRIKC"
"li","Sexual Harassment Complaints"
"a","Sexual Harassment Complaints"
"li","Website Credits"
"a","Website Credits"
"section","Copyright � 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012 Web Editor Anti-Ragging Privacy Statement Report Copyright Infringement"
"p","Copyright � 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
"ul","Web Editor Anti-Ragging Privacy Statement Report Copyright Infringement"
"li","Web Editor"
"a","Web Editor"
"li","Anti-Ragging"
"a","Anti-Ragging"
"li","Privacy Statement"
"a","Privacy Statement"
"li","Report Copyright Infringement"
"a","Report Copyright Infringement"
"#root","Welcome to Punjab Engineering College  | Punjab Engineering College Skip to main content Alumni Webmail Jobs Tenders Office Orders NIRF RTI Placements Contact Us Search Home Institute History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports Administration Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Programmes Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal Admissions Academic Units Departments Centres Research Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts Campus Life Students Facilities Online Fee Payment Punjab Engineering College (Deemed to be University), Chandigarh MoU signed between PEC and Bansal EnviroTech MoU signed between PEC and KISCO India Private Limited (KIPL) Homecoming 2020: First Annual Alumni Meet Siemens Center of Excellence Inaugurated at PEC Ban on Single Use Plastic/ Thermocol Items in Chandigarh Distinguished Alumnus Award Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020. Top Stories Oldest Alum at Homecoming: 2020 PEC welcomed Mr. Bikram Singh Garewal, the university�s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life. MOU Between PEC and PEDA A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India. 98th Foundation Day PEC has completed 98 wonderful years since it�s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi. Explore AdmissionsGeneral InformationB.Tech. AdmissionsM.Tech. AdmissionsPh.D Admissions AlumniAlumni PortalGiving BackConnectAlumni Registration Central LibraryCentral LibrarySectionsMembership FacilitiesMultimedia Resource CentreResourcesInternal Services TEQIP IIITEQIP-IIIKey ActivitiesHappeningsDownloadsMedia CoverageTEQIP II Archive PlacementsAbout the CentreDirector's MessageHead's MessageWhy @ PEC?Past RecruitersContact Us NoticesTendersE-NoticesJobs Announcements One week STC on Micro Manufacturing from 4th to 8th January, 2021 Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19 Manual to Access pec.edu.in Email ID As a precautionary measure against the spread of Corona Virus, teaching shall remain suspended in the institute indefinitely. Contribute to Covid Emergency Funds Important Links Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years. Description, Purpose and Guidelines of the Voyager Program Headlines Dr. Sanjeev Kumar has received the India 2020 Top Cited Paper Award Online Short Term Course (STC) on Smart Functional Materials for Emerging Applications Webinar on ANSYS High Frequency Application in 5G Antenna Two Days Workshop on Advanced Functional Materials (WAFM-2020) Online Short Term Course on Nanotechnology for Electronic and Photonic Devices (NANODEV-2020) All Events Connect Recent Research Activities India 2020 Top Cited Paper Award Dr. Sanjeev Kumar, Applied Science Department has received the India 2020 Top Cited Paper Award for article �Sr and Mn co-doped sol-gel derived BiFeO3 ceramics with enhanced magnetism and reduced leakage current� Nandni Sharma et al 2017 Mater. Res. Express 4 015702. The Top Cited Paper Award is for corresponding authors from India, for work published across the entire IOP Publishing portfolio. Web Development & Programming the IoT Workshop The Computer Centre, Punjab Engineering College (Deemed to be University), Chandigarh in association with Chandigarh Sub Section of IEEE is organized a Six Weeks Workshop on Web Development & Introduction to Programming the Internet of Things (IoT). The workshop comprised of theoretical and practical sessions on daily basis. Expert Lectures were also conducted during the workshop. Space Flight: Challenges & Opportunities National Seminar A National Seminar on �Space Flight: Challenges and Opportunities� was held at the Punjab Engineering College (Deemed to be University), Chandigarh. Notably, the seminar was conducted to commemorate the 16th death anniversary of Dr. Kalpana Chawla, the star alumni of Aerospace Engineering Department of PEC, who disappeared in the sky during Columbia Disaster on 1st February 2003. Research Overview Research Groups Sponsored Research Consultancy Collaborations In-House Projects Academics Time Tables Examination Academic Calendar Undergraduate Programme Postgraduate Programme PhD Programme Facilities Library Computer Centre Sports Hostels Medical Facility Workshops Information E-Notices Multimedia Brochure & Prospectus CRIKC Sexual Harassment Complaints Website Credits Copyright � 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012 Web Editor Anti-Ragging Privacy Statement Report Copyright Infringement"
"html","Welcome to Punjab Engineering College  | Punjab Engineering College Skip to main content Alumni Webmail Jobs Tenders Office Orders NIRF RTI Placements Contact Us Search Home Institute History Vision & Mission Campus Location News and Events Tenders & Quotations Balance Sheets Rules, Guidelines & Forms Faculty Affairs IQAC Reports Administration Board Of Governors Chairman, Board of Governors Director Senate Members Building & Works Committee Finance Committee Grievance Redressal Committee Institute Functionaries Minutes of Meetings Programmes Undergraduate Postgraduate Doctorate Academic Support for Students Accreditation Scholarships IQAC Reports E-Academic Portal Admissions Academic Units Departments Centres Research Overview Research Groups Sponsored Research In-House Projects Consultancy Courses and Conferences Young Research Fellows Programme Norms and Forms Contacts Campus Life Students Facilities Online Fee Payment Punjab Engineering College (Deemed to be University), Chandigarh MoU signed between PEC and Bansal EnviroTech MoU signed between PEC and KISCO India Private Limited (KIPL) Homecoming 2020: First Annual Alumni Meet Siemens Center of Excellence Inaugurated at PEC Ban on Single Use Plastic/ Thermocol Items in Chandigarh Distinguished Alumnus Award Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020. Top Stories Oldest Alum at Homecoming: 2020 PEC welcomed Mr. Bikram Singh Garewal, the university�s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life. MOU Between PEC and PEDA A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India. 98th Foundation Day PEC has completed 98 wonderful years since it�s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi. Explore AdmissionsGeneral InformationB.Tech. AdmissionsM.Tech. AdmissionsPh.D Admissions AlumniAlumni PortalGiving BackConnectAlumni Registration Central LibraryCentral LibrarySectionsMembership FacilitiesMultimedia Resource CentreResourcesInternal Services TEQIP IIITEQIP-IIIKey ActivitiesHappeningsDownloadsMedia CoverageTEQIP II Archive PlacementsAbout the CentreDirector's MessageHead's MessageWhy @ PEC?Past RecruitersContact Us NoticesTendersE-NoticesJobs Announcements One week STC on Micro Manufacturing from 4th to 8th January, 2021 Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19 Manual to Access pec.edu.in Email ID As a precautionary measure against the spread of Corona Virus, teaching shall remain suspended in the institute indefinitely. Contribute to Covid Emergency Funds Important Links Rolling Advertisement for the Temporary Engagement of Faculty Positions at the level of Assistant Professor on contract for three years. Description, Purpose and Guidelines of the Voyager Program Headlines Dr. Sanjeev Kumar has received the India 2020 Top Cited Paper Award Online Short Term Course (STC) on Smart Functional Materials for Emerging Applications Webinar on ANSYS High Frequency Application in 5G Antenna Two Days Workshop on Advanced Functional Materials (WAFM-2020) Online Short Term Course on Nanotechnology for Electronic and Photonic Devices (NANODEV-2020) All Events Connect Recent Research Activities India 2020 Top Cited Paper Award Dr. Sanjeev Kumar, Applied Science Department has received the India 2020 Top Cited Paper Award for article �Sr and Mn co-doped sol-gel derived BiFeO3 ceramics with enhanced magnetism and reduced leakage current� Nandni Sharma et al 2017 Mater. Res. Express 4 015702. The Top Cited Paper Award is for corresponding authors from India, for work published across the entire IOP Publishing portfolio. Web Development & Programming the IoT Workshop The Computer Centre, Punjab Engineering College (Deemed to be University), Chandigarh in association with Chandigarh Sub Section of IEEE is organized a Six Weeks Workshop on Web Development & Introduction to Programming the Internet of Things (IoT). The workshop comprised of theoretical and practical sessions on daily basis. Expert Lectures were also conducted during the workshop. Space Flight: Challenges & Opportunities National Seminar A National Seminar on �Space Flight: Challenges and Opportunities� was held at the Punjab Engineering College (Deemed to be University), Chandigarh. Notably, the seminar was conducted to commemorate the 16th death anniversary of Dr. Kalpana Chawla, the star alumni of Aerospace Engineering Department of PEC, who disappeared in the sky during Columbia Disaster on 1st February 2003. Research Overview Research Groups Sponsored Research Consultancy Collaborations In-House Projects Academics Time Tables Examination Academic Calendar Undergraduate Programme Postgraduate Programme PhD Programme Facilities Library Computer Centre Sports Hostels Medical Facility Workshops Information E-Notices Multimedia Brochure & Prospectus CRIKC Sexual Harassment Complaints Website Credits Copyright � 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012 Web Editor Anti-Ragging Privacy Statement Report Copyright Infringement"
